"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2021","6,814.36","6,385.32","6,814.36","6,239.26","","6.77%"
"04/01/2021","6,382.14","6,302.56","6,527.33","6,216.19","","1.41%"
"03/01/2021","6,293.39","6,362.94","6,553.95","6,035.91","2.46M","-0.51%"
"02/01/2021","6,325.40","6,282.03","6,659.41","6,000.96","2.03M","0.34%"
"01/01/2021","6,304.12","6,671.93","6,827.50","6,221.87","3.12M","-5.15%"
"12/01/2020","6,646.47","6,608.62","6,770.84","6,441.29","3.24M","0.36%"
"11/01/2020","6,622.36","6,517.42","6,873.44","6,461.71","2.82M","1.71%"
"10/01/2020","6,511.16","6,737.53","7,059.24","6,502.12","1.96M","-1.60%"
"09/01/2020","6,617.16","7,216.65","7,301.27","6,550.00","3.45M","-8.40%"
"08/01/2020","7,224.05","7,204.17","7,457.16","6,932.30","4.42M","1.15%"
"07/01/2020","7,141.59","6,341.54","7,447.51","6,267.14","5.88M","13.01%"
"06/01/2020","6,319.56","5,855.33","6,330.09","5,855.33","3.24M","8.65%"
"05/01/2020","5,816.40","5,636.87","5,936.66","5,632.03","2.71M","2.43%"
"04/01/2020","5,678.17","5,413.55","5,846.38","5,367.57","3.47M","4.63%"
"03/01/2020","5,427.13","5,946.83","6,344.08","5,344.42","4.84M","-7.56%"
"02/01/2020","5,870.97","5,180.59","6,420.35","4,923.19","4.80M","3.02%"
"01/01/2020","5,699.01","5,603.93","5,954.89","5,586.14","2.78M","2.37%"
"12/01/2019","5,567.03","5,131.89","5,580.34","5,097.08","2.77M","8.59%"
"11/01/2019","5,126.61","5,234.75","5,375.06","5,082.77","2.08M","-2.42%"
"10/01/2019","5,253.88","5,242.02","5,463.54","5,191.06","1.94M","0.41%"
"09/01/2019","5,232.39","5,187.40","5,650.67","5,187.40","2.76M","0.95%"
"08/01/2019","5,182.96","5,172.08","5,289.04","4,781.88","2.40M","-0.33%"
"07/01/2019","5,200.09","5,418.21","5,501.12","5,067.10","2.24M","-2.28%"
"06/01/2019","5,321.43","5,341.27","5,427.67","5,011.76","2.40M","-0.24%"
"05/01/2019","5,334.25","5,480.13","5,539.35","5,166.40","2.84M","-6.12%"
"04/01/2019","5,682.24","5,961.79","6,322.48","5,595.81","4.42M","-3.87%"
"03/01/2019","5,911.21","5,344.42","6,046.62","5,286.00","5.08M","10.90%"
"02/01/2019","5,330.34","4,369.27","5,438.88","4,369.27","2.59M","22.38%"
"01/01/2019","4,355.74","4,436.75","4,669.63","4,326.33","2.16M","-1.68%"
"12/01/2018","4,430.02","4,762.96","4,846.75","4,396.37","1.74M","-4.69%"
"11/01/2018","4,648.18","4,428.86","4,946.79","4,425.15","2.67M","5.63%"
