time,BTC,DBC - commodities,GLD - gold,IEF - intermediate bonds,SPY - stocks,SVXY,TLT - long term bonds
18/3/2015,256.2990112,14.60070705,112.3700027,84.8588562,174.2905273,66.98999786,97.16606903
19/3/2015,260.928009,14.35553074,112.2900009,84.45954895,173.4955444,66.86000061,96.6709671
20/3/2015,261.7489929,14.54998112,113.5699997,84.80406952,175.0269775,67.98000336,97.18081665
23/3/2015,266.7399902,14.71906757,114.2900009,84.91365051,174.6859436,69.19999695,97.06260681
24/3/2015,245.5950012,14.60070705,114.5699997,85.17204285,173.7043457,69.48000336,98.00107574
25/3/2015,246.1970062,14.64297867,114.7300034,84.80406952,171.158905,66.36000061,97.17340851
26/3/2015,248.5319977,14.82052135,115.4800034,84.32640076,170.7513428,66.90000153,95.65857697
27/3/2015,247.029007,14.5246172,115.0599976,84.65527344,171.1422882,67.73000336,96.8482666
30/3/2015,247.526001,14.60070705,113.75,84.64749146,173.2301788,69.73999786,96.36798859
31/3/2015,244.223999,14.43162155,113.6600037,84.86670685,171.7162476,68.04000092,96.57483673
1/4/2015,247.2720032,14.69370461,115.5999985,85.27054596,171.1089935,68.01999664,97.84342194
2/4/2015,253.0050049,14.61761761,115.2799988,85.02742767,171.7245178,69.44000244,96.806633
6/4/2015,255.4920044,14.8036108,116.6900024,85.13722992,172.8808289,70.98999786,96.26612854
7/4/2015,253.1799927,14.87970161,116.1100006,85.20783997,172.4233246,71.12000275,97.07323456
8/4/2015,245.0220032,14.59225368,115.4700012,85.12937927,173.0056,72.44000244,97.10284424
9/4/2015,243.6759949,14.59225368,114.6699982,84.7843399,173.7708435,74.86000061,95.84397125
10/4/2015,236.0720062,14.7444315,115.9700012,84.76083374,174.7191772,78.33999634,95.98471832
13/4/2015,224.5870056,14.67679691,115.1399994,84.93332672,173.9289398,75.91000366,96.11799622
14/4/2015,219.1589966,14.7444315,114.4400024,85.18431854,174.2616425,76.75,96.79924774
15/4/2015,223.8329926,15.04033661,115.4300003,85.23138428,175.0435486,78.44999695,96.7177887
16/4/2015,228.572998,15.20096874,115.0299988,85.29407501,174.9936829,80.01000214,96.23651886
17/4/2015,222.8820038,15.16715145,115.5999985,85.46663666,172.9806671,77.19000244,97.3398056
